assembly_id	contig_id	ref_id	ospC_type	query_length	ref_length	overall_percent_identity	query_covered_length	ref_covered_length	covered_intervals	query_intervals	subject_hit_coords	query_coverage_percent
UNY169P	contig_2 [gcode=11] [topology=linear]	U04240.1	E	26498	929	99.89247311827957	929	928	[(1, 929)]	[(3035, 3964)]	[(1, 929)]	3.505924975469847
ESI425H	contig_11 [gcode=11] [topology=linear]	X81524.1	L	26516	633	99.68404423380727	632	632	[(1, 633)]	[(18136, 18768)]	[(633, 1)]	2.3834665862120983
GCA_024662155.1_ASM2466215v1_genomic	CP094562.1 Borreliella burgdorferi strain B408 plasmid p26, complete sequence	U04281.1	I	26507	692	100.0	691	691	[(1, 692)]	[(16853, 17544)]	[(1, 692)]	2.6068585656619008
ESI361H	contig_7 [gcode=11] [topology=linear]	X81524.1	L	26516	633	99.68404423380727	632	632	[(1, 633)]	[(7725, 8357)]	[(1, 633)]	2.3834665862120983
UNY1038P	contig_2 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(16163, 16745)]	[(583, 1)]	2.1950667571848834
UWI263P	contig_2 [gcode=11] [topology=linear]	X81524.1	L	26519	633	99.0521327014218	632	632	[(1, 633)]	[(24774, 25406)]	[(633, 1)]	2.3831969531279458
GCF_002151485.1_ASM215148v1_genomic	NZ_CP019917.1 Borreliella burgdorferi strain PAbe plasmid p_cp26, complete sequence	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16831, 17577), (16550, 16786)]	[(234, 980), (12, 243)]	3.705940070948751
B500PP	contig_2 [gcode=11] [topology=linear]	U04281.1	I	26512	692	100.0	691	691	[(1, 692)]	[(756, 1447)]	[(1, 692)]	2.606366928183464
URI39H	contig_17 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(13268, 14014), (12987, 13223)]	[(234, 980), (12, 243)]	3.705940070948751
UCT124H	contig_14 [gcode=11] [topology=linear]	NC_011724.1	B	26525	636	99.21383647798741	635	635	[(1, 636)]	[(18102, 18737)]	[(636, 1)]	2.3939679547596606
UCT31H	contig_18 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(17163, 17909), (17954, 18190)]	[(980, 234), (243, 12)]	3.705940070948751
GCF_040790745.1_ASM4079074v1_genomic	NZ_CP161084.1 Borreliella burgdorferi strain Bb16-150 plasmid cp26, complete sequence	U04240.1	E	26498	929	99.89247311827957	929	928	[(1, 929)]	[(16610, 17539)]	[(1, 929)]	3.505924975469847
UNY172P	contig_2 [gcode=11] [topology=linear]	U01892.1	M	26537	824	99.38875305623472	817	817	[(7, 824)]	[(13086, 13903)]	[(824, 7)]	3.0787202773486078
UCT35H	contig_9 [gcode=11] [topology=linear]	DQ437456.1	G	26522	570	100.0	569	569	[(1, 570)]	[(20198, 20767)]	[(1, 570)]	2.145388733881306
UCT96H	contig_15 [gcode=11] [topology=linear]	NC_011724.1	B	26525	636	99.21383647798741	635	635	[(1, 636)]	[(13437, 14072)]	[(1, 636)]	2.3939679547596606
UCT32H	contig_14 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(6198, 6780)]	[(583, 1)]	2.1950667571848834
URI48H	contig_14 [gcode=11] [topology=linear]	L42897.1	N	26506	579	100.0	578	578	[(1, 579)]	[(21427, 22005)]	[(579, 1)]	2.18063834603486
GCA_024662175.1_ASM2466217v1_genomic	CP094580.1 Borreliella burgdorferi strain B379 plasmid p26, complete sequence	AF029871.1	K	26515	583	100.0	582	582	[(1, 583)]	[(16932, 17514)]	[(1, 583)]	2.194983971336979
URI103H	contig_12 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(6382, 6964)]	[(583, 1)]	2.1950667571848834
GCF_002151465.1_ASM215146v1_genomic	NZ_CP019845.1 Borreliella burgdorferi isolate yes plasmid cp26, complete sequence	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16831, 17577), (16550, 16786)]	[(234, 980), (12, 243)]	3.705940070948751
UWI283P	contig_2 [gcode=11] [topology=linear]	FJ997281.1	O	26531	525	100.0	524	524	[(1, 525)]	[(18694, 19218)]	[(525, 1)]	1.9750480569899365
UNY1032P	contig_2 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(19245, 19991), (20036, 20272)]	[(980, 234), (243, 12)]	3.705940070948751
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	NZ_CP161905.1 Borreliella burgdorferi strain PFhe_I plasmid cp26, complete sequence	EF537398.1	Q	26504	627	100.0	626	626	[(1, 627)]	[(16904, 17530)]	[(1, 627)]	2.3619076365831573
URI44H	contig_11 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(19282, 19864)]	[(583, 1)]	2.1950667571848834
URI47H	contig_13 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(16089, 16671)]	[(583, 1)]	2.1950667571848834
UNY193P	contig_2 [gcode=11] [topology=linear]	L25413.1	D	26511	1150	99.48051948051948	1154	1149	[(1, 1150)]	[(21414, 22568)]	[(1150, 1)]	4.352910112783373
URI120H	contig_16 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(3327, 4073), (4118, 4354)]	[(980, 234), (243, 12)]	3.705940070948751
GCF_003367295.1_ASM336729v1_genomic	NZ_CP031398.1 Borreliella burgdorferi strain MM1 plasmid plsm_cp26, complete sequence	DQ437467.1	U	26507	600	99.66722129783693	599	599	[(1, 600)]	[(16893, 17492)]	[(1, 600)]	2.2597804353566984
ESI403H	contig_11 [gcode=11] [topology=linear]	NC_011724.1	B	26514	636	100.0	635	635	[(1, 636)]	[(13719, 14354)]	[(636, 1)]	2.394961152598627
UCT113H	contig_4 [gcode=11] [topology=linear]	EF537400.1	H	26521	552	100.0	551	551	[(1, 552)]	[(13435, 13986)]	[(1, 552)]	2.077598883903322
UWI247P	contig_2 [gcode=11] [topology=linear]	EF537400.1	H	26521	552	100.0	551	551	[(1, 552)]	[(23631, 24182)]	[(552, 1)]	2.077598883903322
UCT30H	contig_11 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(17059, 17641)]	[(1, 583)]	2.1950667571848834
B418PP	contig_2 [gcode=11] [topology=linear]	U04240.1	E	26498	929	99.89247311827957	929	928	[(1, 929)]	[(20552, 21481)]	[(929, 1)]	3.505924975469847
URI102H	contig_15 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(14255, 14491), (14536, 15282)]	[(234, 980), (12, 243)]	3.705940070948751
URI88H	contig_16 [gcode=11] [topology=linear]	AF029868.1	H	26522	551	100.0	550	550	[(1, 551)]	[(20830, 21380)]	[(551, 1)]	2.073750094261368
URI46H	contig_10 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(21498, 22080)]	[(1, 583)]	2.1950667571848834
URI111H	contig_17 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(9094, 9330), (8303, 9049)]	[(980, 234), (243, 12)]	3.705940070948751
UNY208P	contig_2 [gcode=11] [topology=linear]	AF029868.1	H	26522	551	100.0	550	550	[(1, 551)]	[(7285, 7835)]	[(1, 551)]	2.073750094261368
URI87H	contig_17 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(6270, 7016), (5989, 6225)]	[(234, 980), (12, 243)]	3.705940070948751
URI117H	contig_8 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(18112, 18694)]	[(583, 1)]	2.1950667571848834
ESI26H	contig_9 [gcode=11] [topology=linear]	U91800.1	R	26508	539	100.0	538	538	[(1, 539)]	[(19458, 19996)]	[(539, 1)]	2.029575977063528
URI101H	contig_18 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(19711, 20457), (20502, 20738)]	[(980, 234), (243, 12)]	3.705940070948751
UWI248P	contig_2 [gcode=11] [topology=linear]	EF537400.1	H	26521	552	100.0	551	551	[(1, 552)]	[(1226, 1777)]	[(552, 1)]	2.077598883903322
GCF_040790805.1_ASM4079080v1_genomic	NZ_CP161199.1 Borreliella burgdorferi strain B31 plasmid cp26, complete sequence	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16831, 17577), (16550, 16786)]	[(234, 980), (12, 243)]	3.705940070948751
GCF_040790765.1_ASM4079076v1_genomic	NZ_CP161119.1 Borreliella burgdorferi strain Bb16-23-2 plasmid cp26, complete sequence	AY275222.1	T	26528	573	99.82547993019197	572	572	[(1, 573)]	[(16960, 17532)]	[(1, 573)]	2.1562123039806997
GCF_002151505.1_ASM215150v1_genomic	NZ_CP019755.1 Borreliella burgdorferi strain B31_NRZ isolate B31 plasmid p_cp26, complete sequence	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16831, 17577), (16550, 16786)]	[(234, 980), (12, 243)]	3.705940070948751
GCF_040790755.1_ASM4079075v1_genomic	NZ_CP161102.1 Borreliella burgdorferi strain Bb16-134 plasmid cp26, complete sequence	L42897.1	N	26515	579	100.0	578	578	[(1, 579)]	[(16950, 17528)]	[(1, 579)]	2.1798981708466907
GCF_019134655.1_ASM1913465v1_genomic	NZ_CP077728.1 Borreliella burgdorferi strain B-17/2013 plasmid pGr-39_cp26, complete sequence	X81524.1	L	26516	633	99.68404423380727	632	632	[(1, 633)]	[(16909, 17541)]	[(1, 633)]	2.3834665862120983
UNY990P	contig_2 [gcode=11] [topology=linear]	L42897.1	N	26506	579	100.0	578	578	[(1, 579)]	[(18512, 19090)]	[(1, 579)]	2.18063834603486
UNY1090P	contig_2 [gcode=11] [topology=linear]	AF029868.1	H	26522	551	100.0	550	550	[(1, 551)]	[(10580, 11130)]	[(551, 1)]	2.073750094261368
GCF_040790735.1_ASM4079073v1_genomic	NZ_CP161067.1 Borreliella burgdorferi strain Bb16-183 plasmid cp26, complete sequence	AF029868.1	H	26522	551	100.0	550	550	[(1, 551)]	[(16935, 17485)]	[(1, 551)]	2.073750094261368
URI40H	contig_15 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(19872, 20618), (19591, 19827)]	[(234, 980), (12, 243)]	3.705940070948751
UCT29H	contig_18 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(9199, 9435), (9480, 10226)]	[(234, 980), (12, 243)]	3.705940070948751
UNY203P	contig_2 [gcode=11] [topology=linear]	DQ437456.1	G	26522	570	100.0	569	569	[(1, 570)]	[(23117, 23686)]	[(570, 1)]	2.145388733881306
URI36H	contig_13 [gcode=11] [topology=linear]	U04281.1	I	26506	692	100.0	691	691	[(1, 692)]	[(12531, 13222)]	[(692, 1)]	2.6069569154153776
GCF_040790795.1_ASM4079079v1_genomic	NZ_CP161167.1 Borreliella burgdorferi 297 plasmid cp26, complete sequence	AF029871.1	K	26512	583	100.0	582	582	[(1, 583)]	[(16931, 17513)]	[(1, 583)]	2.195232347616174
URI34H	contig_9 [gcode=11] [topology=linear]	L25413.1	D	26511	1150	99.48051948051948	1154	1149	[(1, 1150)]	[(7719, 8873)]	[(1150, 1)]	4.352910112783373
URI91H	contig_20 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(10563, 11309), (10282, 10518)]	[(234, 980), (12, 243)]	3.705940070948751
UNY1085P	contig_2 [gcode=11] [topology=linear]	U01892.1	M	26316	824	99.38875305623472	817	817	[(7, 824)]	[(6995, 7812)]	[(7, 824)]	3.104575163398693
GCF_040790785.1_ASM4079078v1_genomic	NZ_CP161138.1 Borreliella burgdorferi strain Bb16-15-2 plasmid cp26, complete sequence	AY275222.1	T	26529	573	99.82547993019197	572	572	[(1, 573)]	[(16960, 17532)]	[(1, 573)]	2.1561310264239135
URI89H	contig_18 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(4723, 4959), (3932, 4678)]	[(980, 234), (243, 12)]	3.705940070948751
URI86H	contig_8 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(25905, 26487)]	[(583, 1)]	2.1950667571848834
GCF_024662195.1_ASM2466219v1_genomic	NZ_CP094598.1 Borreliella burgdorferi strain B31-5A4 plasmid p26, complete sequence	U01894.1	A	26499	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(16551, 16787), (16832, 17578)]	[(234, 980), (12, 243)]	3.705800218876184
UNY1128P	contig_11 [gcode=11] [topology=linear]	DQ437462.1	C	25158	630	100.0	629	629	[(1, 630)]	[(23218, 23847)]	[(1, 630)]	2.5001987439383098
UNY149P	contig_2 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(23351, 23933)]	[(583, 1)]	2.1950667571848834
UCT110H	contig_10 [gcode=11] [topology=linear]	AF029871.1	K	26514	583	100.0	582	582	[(1, 583)]	[(7607, 8189)]	[(1, 583)]	2.1950667571848834
B331PP	contig_2 [gcode=11] [topology=linear]	U04281.1	I	26506	692	100.0	691	691	[(1, 692)]	[(16852, 17543)]	[(1, 692)]	2.6069569154153776
URI56H	contig_3 [gcode=11] [topology=linear]	U04281.1	I	26506	692	100.0	691	691	[(1, 692)]	[(2173, 2864)]	[(692, 1)]	2.6069569154153776
URI107H	contig_18 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(19381, 19617), (18590, 19336)]	[(980, 234), (243, 12)]	3.705940070948751
URI42H	contig_15 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(24098, 24334), (24379, 25125)]	[(234, 980), (12, 243)]	3.705940070948751
XYZ459H	contig_10 [gcode=11] [topology=linear]	U01892.1	M	26537	824	99.38875305623472	817	817	[(7, 824)]	[(14153, 14970)]	[(7, 824)]	3.0787202773486078
URI93H	contig_16 [gcode=11] [topology=linear]	U01894.1	A	26498	980	98.98477157360406	982	977	[(234, 980), (12, 243)]	[(7540, 7776), (7821, 8567)]	[(234, 980), (12, 243)]	3.705940070948751
