#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
NZ_CP161904.1	95396	95830	+	JCNJCL_00073	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
NZ_CP161904.1	117083	118357	-	JCNJCL_00097	48.6	4.5		RefSeq:WP_002657506.1, SO:0001217, UniParc:UPI00016B27E7, UniRef:UniRef100_UPI00016B27E7, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
NZ_CP161904.1	171065	171604	-	JCNJCL_00148	21.0	9.9		SO:0001217, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
NZ_CP161904.1	220249	220545	-	JCNJCL_00198	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
NZ_CP161904.1	247824	248138	+	JCNJCL_00218	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
NZ_CP161904.1	265601	265969	-	JCNJCL_00233	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
NZ_CP161904.1	345069	346562	+	JCNJCL_00302	59.2	5.9		SO:0001217, UniRef:UniRef50_D6RY37
NZ_CP161904.1	375036	375458	+	JCNJCL_00331	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
NZ_CP161904.1	493525	493941	-	JCNJCL_00454	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
NZ_CP161904.1	522620	522814	+	JCNJCL_00482	7.3	4.6		SO:0001217, UniRef:UniRef50_A0A7W9ZBB6
NZ_CP161904.1	541751	542176	-	JCNJCL_00500	16.5	9.7		SO:0001217, UniParc:UPI0000057451, UniRef:UniRef100_O51335, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
NZ_CP161904.1	636963	637979	+	JCNJCL_00595	39.3	4.2		RefSeq:WP_002657701.1, SO:0001217, UniParc:UPI00016B338F, UniRef:UniRef100_UPI00016B338F, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
NZ_CP161904.1	752059	752493	-	JCNJCL_00702	16.9	10.1		RefSeq:WP_002556754.1, SO:0001217, UniParc:UPI00016B2B02, UniRef:UniRef100_A0A0H3C1D3, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
