ID	group
CFHKPG_00354	group_607
CFHKPG_00423	group_941
CFHKPG_00474	NADH dehydrogenase subunit 4L
CFHKPG_00894	group_705
CFHKPG_01028	group_169
CFHKPG_01057	group_541
CFHKPG_01097	Uncharacterized domain protein
EDIMDB_01061	group_953
JKDFDB_01497	group_301
JKDFDB_01502	group_251
JKDFDB_01503	TM2 domain protein
OHDNIM_00931	group_778
OHDNIM_00973	group_526
OHDNIM_01153	group_306
OHDNIM_01289	group_181
OHDNIM_01349	group_456
OHDNIM_01350	group_255
OHDNIM_01362	group_916
OHDNIM_01364	group_918
OHDNIM_01365	group_919
HAALMC_01050	group_328
HAALMC_01053	group_931
HAALMC_01057	group_1033
HAALMC_01148	group_924
HAALMC_01149	group_317
HAALMC_01196	group_1098
HAALMC_01204	variable large family protein
HAALMC_01265	Uncharacterized protein BBD24
HAALMC_01342	group_1017
JKOCPB_00853	group_1150
JKOCPB_00991	group_876
JKOCPB_01166	group_577
JKOCPB_01176	group_114
JKOCPB_01233	group_457
GKLIPC_00974	tnpA
CLLBDG_01247	group_61
CLLBDG_01303	group_1056
KGIAJM_01516	group_571
OLCIOJ_01346	group_1202
OLCIOJ_01401	group_590
OLCIOJ_01435	group_1269
OLCIOJ_01437	group_1270
ELJNOB_00990	group_1142
ELJNOB_01048	dcm
ELJNOB_01049	MvaI/BcnI restriction endonuclease domain-containing protein
CBONDI_01215	group_1161
EBOALB_00353	group_730
EBOALB_01223	group_1247
EBOALB_01233	group_1255
EBOALB_01234	group_1256
EBOALB_01235	virulence associated lipoprotein
EBOALB_01236	group_1258
CEMKAM_01022	group_1376
ECDEAP_01302	group_1356
ECDEAP_01303	group_1357
JCNJCL_01167	group_1109
JCNJCL_01170	group_1112
JCNJCL_01211	group_792
JCNJCL_01215	group_1121
JCNJCL_01216	group_1122
JCNJCL_01244	group_804
HILFBG_01481	group_1139
BKJAFL_01200	group_1321
IGONDL_01139	group_1292
IGONDL_01144	group_1287
DMPBEC_00941	group_790
DMPBEC_01113	group_854
DMPBEC_01122	group_859
DMPBEC_01176	group_865
FMOGGM_01218	group_1384
BFHFJM_00001	group_1072
PPOBBG_00876	group_1035
KFDJMC_01108	membrane protein
KFDJMC_01141	group_648
KFDJMC_01228	group_578
KFDJMC_01248	group_770
KFDJMC_01275	group_772
PEKCCM_01052	group_1002
GCLKFE_01025	group_675
GCLKFE_01118	cdsA
GCLKFE_01134	group_629
KCCJIL_01205	group_647
HOFFII_01447	group_1349
HOFFII_01463	group_1351
MGPBEI_01426	group_1211
MGPBEI_01430	group_1212
MGPBEI_01431	group_1213
MGPBEI_01432	group_1214
MGPBEI_01433	group_1215
MGPBEI_01434	XRE family transcriptional regulator
MGPBEI_01435	group_1217
MGPBEI_01436	DUF736 domain-containing protein
MGPBEI_01437	group_1219
MGPBEI_01438	group_1220
MGPBEI_01439	group_1221
MGPBEI_01440	group_1222
MGPBEI_01441	group_1223
MGPBEI_01442	group_1224
MGPBEI_01443	group_1225
MGPBEI_01444	NADH-quinone oxidoreductase subunit J
MGPBEI_01445	group_1227
FEGGFG_00873	group_1086
FEGGFG_00875	aac(3)-Ia
FEGGFG_01126	aph(3')-Ia
JEKLJL_01268	group_1006
