ID	group	gene	old_locus_tag	percent_ident	alignment_length	E-score
AEPIPJ_01198	group_1332	BB_RS05980	BB_P28	85.679	405	1.57e-133
AEPIPJ_01339	group_1333	BB_RS05985	BB_P29	93.458	107	2.09e-41
AEPIPJ_01570	group_1334	BB_RS06030	BB_P38	86.957	69	5.62e-17
AEPIPJ_01576	group_1335	BB_RS04520	BB_G06	79.505	444	4.67e-109
AGEDGC_01059	group_1039	BB_RS06030	BB_P38	87.5	64	4.54e-16
AGEDGC_01069	group_1038	BB_RS05980	BB_P28	77.551	441	1.24e-96
AGEDGC_01313	group_1137	BB_RS05470	BB_C11	81.575	635	3.67e-176
AGEDGC_01504	group_1141	BB_RS04540	BB_G10	81.046	153	1.31e-35
AIIKEN_00719	group_922	BB_RS04240	BB_0837	100.0	339	1.5399999999999999e-176
AIIKEN_00870	group_313	BB_RS04310	BB_H04	84.874	119	6.64e-32
AIIKEN_00976	group_923	BB_RS05980	BB_P28	88.705	363	1.5800000000000001e-133
AIIKEN_01070	group_875	BB_RS04990	BB_I43	78.68	197	9.99e-40
AIIKEN_01161	Mammal-specific outer surface protein C	BB_RS05565	BB_B19	80.975	636	6.529999999999999e-172
AIIKEN_01184	group_937	BB_RS05820	BB_F32	83.607	61	1.55e-11
AIIKEN_01185	group_938	BB_RS05820	BB_F32	69.091	275	1.05e-20
AIIKEN_01186	group_939	BB_RS05820	BB_F32	67.568	259	4.12e-17
AIIKEN_01187	group_553	BB_RS05825	BB_F32	87.273	55	1.45e-12
AIIKEN_01237	group_940	BB_RS05825	BB_F32	73.661	224	5.86e-33
APMGPK_00923	group_509	BB_RS05720	BB_F08	100.0	168	4.85e-84
APMGPK_01028	group_952	BB_RS05980	BB_P28	100.0	447	0.0
APMGPK_01285	group_957	BB_RS04430	BB_E09	96.33	109	1.6499999999999999e-46
BFHFJM_00860	group_1073	BB_RS04315	BB_H04	77.833	203	2.7299999999999998e-40
BFHFJM_00879	group_1074	BB_RS05565	BB_B19	81.649	643	4.77e-180
BFHFJM_00931	yjhX	BB_RS06045	BB_P41	94.0	50	6.83e-16
BFHFJM_01005	group_1076	BB_RS05980	BB_P28	90.85	153	4.04e-54
BFHFJM_01285	group_1080	BB_RS04820	BB_F32	70.833	144	8.23e-12
BFHFJM_01286	group_1081	BB_RS05820	BB_F32	67.005	394	1.8399999999999998e-23
BFHFJM_01287	group_1082	BB_RS05820	BB_F32	83.333	60	4.21e-11
BFHFJM_01288	group_1083	BB_RS05820	BB_F32	77.381	84	1.69e-11
BKJAFL_01199	group_1320	BB_RS04830	BB_F32	83.607	61	1.68e-11
BNDKBC_01193	group_1145	BB_RS05605	BB_B29	100.0	222	3.21e-113
BNDKBC_01194	group_1146	BB_RS05605	BB_B29	100.0	216	5.63e-110
CBDIHB_01455	group_1190	BB_RS05940	BB_P20	93.897	213	1.94e-90
CBONDI_00860	group_1100	BB_RS04390	BB_H34	100.0	195	1.26e-98
CBONDI_01093	Erp26 protein	BB_RS06035	BB_P39	71.406	633	1.28e-88
CBONDI_01098	group_1066	BB_RS04375	BB_H29	70.954	241	3.92e-22
CBONDI_01099	group_1065	BB_RS04370	BB_H28	67.852	759	8.53e-64
CBONDI_01147	site-specific integrase	BB_RS05470	BB_C11	77.635	778	0.0
CBONDI_01216	group_1162	BB_RS04820	BB_F32	71.429	140	4.89e-12
CBONDI_01217	group_1163	BB_RS05820	BB_F32	68.826	247	8.01e-20
CBONDI_01218	group_1164	BB_RS05820	BB_F32	68.182	352	3.4400000000000003e-29
CBONDI_01219	group_1165	BB_RS05820	BB_F32	71.739	138	3.68e-13
CBONDI_01220	group_1166	BB_RS04820	BB_F32	86.538	52	4.83e-11
CBONDI_01221	group_1167	BB_RS05820	BB_F32	72.0	125	6.97e-12
CBONDI_01222	group_1168	BB_RS05820	BB_F32	70.201	349	4.7e-35
CBONDI_01223	group_1169	BB_RS05820	BB_F32	68.702	262	1.78e-19
CBONDI_01224	group_1170	BB_RS05820	BB_F32	68.872	257	1.31e-22
CBONDI_01225	group_1171	BB_RS04290	BB_G06	74.118	255	9.409999999999999e-40
