Strain_ID,Alias,Assembly_ID,MLST,OspC,RST,Imputed,Origin,Location,Source,Species Notes,Sequenced_By_x,BAPS,DBScan,Core,Accessory,Platform,Sequenced_By_y,BioProject,BioSample,SRA,RefSeq,Genbank,Assembly_Name
B-17/2013,Gr-39,ASM1913465v1,24.0,L,3.0,Y,EU,Belarus,Tick,I ricinus,External,4.0,9.0,8.0,11.0,ONT MinION; Illumina iSeq,External,PRJNA739533,SAMN19791464,,GCF_019134655.1,GCA_019134655.1,ASM1913465v1
PAli,,ASM215146v1,1.0,A,1.0,Y,EU,Germany,Human EM,,External,5.0,7.0,1.0,10.0,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269135,SRS807376,GCF_002151465.1,GCA_002151465.1,ASM215146v1
PAbe,,ASM215148v1,1.0,A,1.0,Y,EU,Germany,Human LNB,,External,5.0,7.0,1.0,42.0,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN03269134,SRS805762,GCF_002151485.1,GCA_002151485.1,ASM215148v1
B31_NRZ,,ASM215150v1,1.0,A,1.0,N,US,NY,Tick,Ixodes,External,5.0,7.0,1.0,10.0,PacBio; Illumina MiSeq,External,PRJNA270494,SAMN06324250,SRS1972498,GCF_002151505.1,GCA_002151505.1,ASM215150v1
B408,,ASM2466215v1,16.0,I,3.0,N,US,NY,Skin,Homo sapiens,External,1.0,3.0,4.0,41.0,PacBio Sequel,External,PRJNA820963,SAMN27029187,,GCF_024662155.1,GCA_024662155.1,ASM2466215v1
B379,,ASM2466217v1,3.0,K,2.0,N,US,NY,Skin,Homo sapiens,External,6.0,2.0,2.0,2.0,PacBio Sequel,External,PRJNA820963,SAMN27029186,,GCF_024662175.1,GCA_024662175.1,ASM2466217v1
B31-5A4,,ASM2466219v1,1.0,A,1.0,N,US,NY,Tick,Ixodes,External,5.0,1.0,1.0,1.0,PacBio Sequel,External,PRJNA820963,SAMN27029185,,GCF_024662195.1,GCA_024662195.1,ASM2466219v1
MM1,,ASM336729v1,928.0,U,3.0,Y,US,MN,Tick,Peromyscus leucopus,External,4.0,23.0,20.0,40.0,PacBio,External,PRJNA397229,SAMN07452586,,GCF_003367295.1,GCA_003367295.1,ASM336729v1
GMT-0122,,ASM4079071v1,29.0,L,2.0,Y,,,,,External,6.0,22.0,14.0,39.0,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233980,,GCF_040790715.1,GCA_040790715.1,ASM4079071v1
Bb16-183,,ASM4079073v1,4.0,H,2.0,Y,Canada,Nova Scotia,Tick,Ixodes scapularis,External,7.0,6.0,3.0,38.0,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233985,,GCF_040790735.1,GCA_040790735.1,ASM4079073v1
Bb16-150,,ASM4079074v1,19.0,E,3.0,Y,Canada,Nova Scotia,Tick,Ixodes scapularis,External,2.0,5.0,6.0,5.0,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233984,,GCF_040790745.1,GCA_040790745.1,ASM4079074v1
Bb16-134,,ASM4079075v1,43.0,N,3.0,Y,Canada,North West Ontario,Tick,Ixodes scapularis,External,2.0,21.0,19.0,37.0,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233983,,GCF_040790755.1,GCA_040790755.1,ASM4079075v1
Bb16-23-2,,ASM4079076v1,46.0,T,3.0,Y,Canada,Manitoba,Tick,Ixodes scapularis,External,4.0,15.0,13.0,36.0,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233982,,GCF_040790765.1,GCA_040790765.1,ASM4079076v1
P1286,,ASM4079077v1,1.0,A,1.0,Y,,,Tick,Ixodes scapularis,External,5.0,1.0,1.0,1.0,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233978,,GCF_040790775.1,GCA_040790775.1,ASM4079077v1
Bb16-15-2,,ASM4079078v1,46.0,T,3.0,Y,Canada,Manitoba,Tick,Ixodes scapularis,External,4.0,15.0,13.0,35.0,ONT GridION; Illumina MiSeq,External,PRJNA1130942,SAMN42233981,,GCF_040790785.1,GCA_040790785.1,ASM4079078v1
297,,ASM4079079v1,3.0,K,2.0,Y,US,CT,CSF,Homo sapiens,External,6.0,2.0,2.0,2.0,ONT GridION; Element Biosciences AVITI,External,PRJNA1130942,SAMN42233979,,GCF_040790795.1,GCA_040790795.1,ASM4079079v1
B31,,ASM4079080v1,1.0,A,1.0,N,US,NY,Tick,Ixodes scapularis,External,5.0,7.0,1.0,34.0,PacBio RSII; Illumina MiSeq,External,PRJNA1130942,SAMN42233977,,GCF_040790805.1,GCA_040790805.1,ASM4079080v1
UNY167,B331P,ASM244259v2,16.0,I,3.0,N,US,NY,Skin,Homo sapiens,Internal,1.0,3.0,4.0,33.0,,,,,,,,
UNY186,B418P,,19.0,E,3.0,N,US,NY,Skin,Homo sapiens,Internal,2.0,5.0,6.0,5.0,,,,,,,,
UNY196,B500P,ASM1946457v1,15.0,I,3.0,N,US,NY,Skin,Homo sapiens,Internal,1.0,3.0,4.0,9.0,,,,,,,,
ESI26H,EU57_B190413,,20.0,R,1.0,N,EU,SI,Skin,Homo sapiens,Internal,3.0,20.0,18.0,32.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670685,SRR35038857,,GCA_979087125.1,ESI26H_ann_v1
ESI361H,EU51_B192411,,24.0,L,3.0,Y,,,,,Internal,4.0,9.0,8.0,31.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670488,SRR35038858,,GCA_979087145.1,ESI361H_ann_v1
ESI403H,EU14_B89613,,545.0,B,1.0,Y,,,,,Internal,3.0,19.0,17.0,30.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50670498,SRR35038859,,GCA_979087135.1,ESI403H_ann_v1
ESI425H,L113H,,24.0,L,3.0,Y,EU,Slovenia,,,Internal,4.0,9.0,8.0,11.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN50671110,SRR35038856,,GCA_979087115.1,ESI425H_ann_v1
PFhe_I_PB_Ill_cons,PFhe_I,,21.0,Q,1.0,Y,EU,Germany,,Homo sapiens,External,3.0,18.0,16.0,29.0,PacBio RSII; Illumina MiSeq,External,PRJNA270494,SAMN03269138,,GCF_040819585.1,GCA_040819585.1,PFhe_I_PB_Ill_cons
UCT109H,K69,,1.0,A,1.0,N,US,CT,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009644,SRS5039840,,GCA_979086045.1,UCT109H_ann_v1
UCT110H,K70,,3.0,K,2.0,N,US,CT,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009645,SRS5039838,,GCA_979086085.1,UCT110H_ann_v1
UCT113H,K76,,1.0,H,2.0,N,US,CT,Skin,,Internal,7.0,17.0,15.0,28.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009651,SRS5039852,,GCA_979086105.1,UCT113H_ann_v1
UCT124H,K90,,59.0,B,1.0,N,US,CT,,,Internal,3.0,14.0,12.0,8.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009665,SRS5039847,,GCA_979086095.1,UCT124H_ann_v1
UCT29H,K1,,1.0,A,1.0,N,US,CT,Skin,,Internal,5.0,1.0,1.0,1.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009576,SRS5039819,,GCA_979087185.1,UCT29H_ann_v1
UCT30H,K11,,3.0,K,2.0,N,US,CT,Skin,,Internal,6.0,2.0,2.0,27.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009586,SRS5039824,,GCA_979087255.1,UCT30H_ann_v1
UCT31H,K10,,1.0,A,1.0,N,US,CT,Skin,,Internal,5.0,1.0,1.0,4.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009585,SRS5039823,,GCA_979086135.1,UCT31H_ann_v1
UCT32H,K15,,3.0,K,2.0,N,US,CT,Skin,,Internal,6.0,2.0,2.0,2.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009590,SRS5039831,,GCA_979087205.1,UCT32H_ann_v1
UCT35H,K24,,14.0,G,3.0,N,US,CT,Skin,,Internal,8.0,13.0,11.0,26.0,ONT GridION; Illumina,Internal,PRJNA548188,SAMN12009599,SRS5039828,,GCA_979086155.1,UCT35H_ann_v1
