assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
ESI26_scaffold,NODE_11_length_22619_cov_115.895027,22619,RS07125_JD1_JD1_cp32-12_ParA_X,cp32-12,RS07125,22619,260,99.6153846153846,779,259,"[(1, 260)]","[(3911, 4690)]","[(1, 260)]",3.44400725054158,pf32
ESI26_scaffold,NODE_14_length_8371_cov_131.134309,8371,gb|AE001580.1|,cp32-8,B31,8371,30885,96.11662230825068,8258,8261,"[(10197, 15395), (7010, 10073)]","[(1, 3064), (3176, 8371)]","[(10197, 15395), (7010, 10073)]",98.65010154103452,wp
ESI26_scaffold,NODE_17_length_6020_cov_205.371390,6020,gb|CP001566.1|,lp28-9,Bol26,6020,28200,99.43521594684384,6019,6019,"[(10083, 16102)]","[(1, 6020)]","[(10083, 16102)]",99.98338870431893,wp
ESI26_scaffold,NODE_21_length_4331_cov_126.964556,4331,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,4331,257,100.0,770,256,"[(1, 257)]","[(1412, 2182)]","[(1, 257)]",17.778803971369197,pf32
ESI26_scaffold,NODE_23_length_4042_cov_213.095105,4042,gb|CP001566.1|,lp28-9,Bol26,4042,28200,98.89271653543308,4041,4063,"[(20171, 24234)]","[(1, 4042)]","[(24234, 20171)]",99.9752597723899,wp
ESI26_scaffold,NODE_25_length_3330_cov_117.794800,3330,gb|CP001566.1|,lp28-9,Bol26,3330,28200,98.91956782713083,3330,3300,"[(1, 2111), (27010, 28200)]","[(1, 1221), (1220, 3330)]","[(1, 2111), (27010, 28200)]",100.0,wp
ESI26_scaffold,NODE_27_length_3158_cov_110.329519,3158,gb|CP001565.1|,cp32-12,Bol26,3158,31433,99.335232668566,3157,3151,"[(26477, 29628)]","[(1, 3158)]","[(29628, 26477)]",99.9683343888537,wp
ESI26_scaffold,NODE_28_length_2785_cov_159.015264,2785,gb|CP001566.1|,lp28-9,Bol26,2785,28200,88.21022727272727,2784,2805,"[(16432, 19237)]","[(1, 2785)]","[(19237, 16432)]",99.9640933572711,wp
ESI26_scaffold,NODE_29_length_2390_cov_110.380183,2390,gb|CP001572.1|,cp32-5,Bol26,2390,30186,99.87447698744772,2389,2389,"[(26134, 28523)]","[(1, 2390)]","[(28523, 26134)]",99.95815899581592,wp
ESI26_scaffold,NODE_31_length_2156_cov_118.437044,2156,gb|CP001570.1|,cp32-9,Bol26,2156,30597,99.443413729128,2155,2155,"[(8382, 10537)]","[(1, 2156)]","[(10537, 8382)]",99.95361781076066,wp
ESI26_scaffold,NODE_32_length_2019_cov_201.925521,2019,gb|CP001566.1|,lp28-9,Bol26,2019,28200,99.25705794947994,2018,2018,"[(8064, 10082)]","[(1, 2019)]","[(8064, 10082)]",99.95047052996532,wp
ESI26_scaffold,NODE_34_length_1794_cov_213.581121,1794,gb|CP001566.1|,lp28-9,Bol26,1794,28200,99.4991652754591,1793,1796,"[(24303, 26099)]","[(1, 1794)]","[(26099, 24303)]",99.9442586399108,wp
ESI26_scaffold,NODE_37_length_1363_cov_146.966772,1363,gb|CP001565.1|,cp32-12,Bol26,1363,31433,99.48642699926631,1362,1362,"[(5865, 7227)]","[(1, 1363)]","[(5865, 7227)]",99.92663242846662,wp
ESI26_scaffold,NODE_38_length_1326_cov_216.144254,1326,gb|AE000783.1|,chromosome,B31,1326,910724,100.0,1325,2650,"[(436972, 438297), (440217, 441542)]","[(1, 1326)]","[(438297, 436972), (441542, 440217)]",99.92458521870287,wp
ESI26_scaffold,NODE_39_length_1183_cov_309.150369,1183,gb|CP001565.1|,cp32-12,Bol26,1183,31433,99.83093829247676,1182,1182,"[(2424, 3606)]","[(1, 1183)]","[(3606, 2424)]",99.91546914623838,wp
ESI26_scaffold,NODE_40_length_1167_cov_186.407303,1167,gb|AE000783.1|,chromosome,B31,1167,910724,100.0,1166,2332,"[(435533, 436699), (438778, 439944)]","[(1, 1167)]","[(436699, 435533), (439944, 438778)]",99.91431019708654,wp
ESI26_scaffold,NODE_4_length_53849_cov_134.818940,53849,A20_B31_lp54_ParA_X,lp54,A20,53849,250,100.0,749,249,"[(1, 250)]","[(39459, 40208)]","[(1, 250)]",1.390926479600364,pf32
ESI26_scaffold,contig_10_RagTag,27297,gb|CP001564.1|,lp17,Bol26,27297,17287,98.80972171426671,30033,28664,"[(486, 1166), (1, 13659), (1, 13638), (2604, 3293)]","[(14124, 14804), (12473, 13153), (1, 13638), (16242, 16931), (10346, 11035), (13639, 27297)]","[(1, 13659), (13638, 1), (486, 1166), (1166, 486), (2604, 3293), (3293, 2604)]",110.02307945928123,wp
ESI26_scaffold,contig_11_RagTag,20101,N32_B31_cp32-9_ParA_X,cp32-9,N32,20101,251,100.0,743,247,"[(1, 248)]","[(14540, 15283)]","[(1, 248)]",3.6963335157454855,pf32
ESI26_scaffold,contig_12_RagTag,14020,P32_B31_cp32-1_ParA_X,cp32-1,P32,14020,246,100.0,737,245,"[(1, 246)]","[(8308, 9045)]","[(1, 246)]",5.256776034236805,pf32
ESI26_scaffold,contig_16_RagTag,1011,gb|CP001570.1|,cp32-9,Bol26,1011,30597,99.80217606330366,1010,1009,"[(14513, 15522)]","[(1, 1011)]","[(14513, 15522)]",99.90108803165182,wp
ESI26_scaffold,contig_17_RagTag,1189,gb|CP001572.1|,cp32-5,Bol26,1189,30186,99.50149551345964,1001,1001,"[(14351, 14824), (15011, 15539)]","[(1, 474), (661, 1189)]","[(15011, 15539), (14351, 14824)]",84.18839360807401,wp
ESI26_scaffold,contig_1_RagTag,910481,NE_5261_chromosome_ParA_2,chromosome,NE_5261,910481,380,100.0,1097,365,"[(1, 366)]","[(368901, 369998)]","[(1, 366)]",0.1204857652164076,pf32
ESI26_scaffold,contig_3_RagTag,50204,RS05395_Bol26_Bol26_lp28-9_ParA_X,lp28-9,RS05395,50204,254,100.0,761,253,"[(1, 254)]","[(34261, 35022)]","[(1, 254)]",1.5158154728706876,pf32
ESI26_scaffold,contig_4_RagTag,34908,K21_B31_lp36_ParA_X,lp36,K21,34908,249,100.0,728,242,"[(1, 243)]","[(22635, 23363)]","[(1, 243)]",2.085481837974104,pf32
ESI26_scaffold,contig_5_RagTag,14056,RS01520_MM1_plsm_cp32-6_ParA_X,cp32-6,RS01520,14056,249,100.0,746,248,"[(1, 249)]","[(4858, 5604)]","[(1, 249)]",5.307342060330108,pf32
ESI26_scaffold,contig_6_RagTag,27851,RS01095_ZS7_ZS7_cp32-3+10_ParA_X,cp32-3+10,RS01095,27851,251,100.0,752,250,"[(1, 251)]","[(20910, 21662)]","[(1, 251)]",2.700082582313023,pf32
ESI26_scaffold,contig_7_RagTag,29567,RS06760_Bol26_Bol26_lp28-3_ParA_X,lp28-3,RS06760,29567,251,98.79032258064515,743,247,"[(1, 248)]","[(18479, 19222)]","[(1, 248)]",2.512936719991883,pf32
ESI26_scaffold,contig_8_RagTag,32476,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,32476,250,100.0,749,249,"[(1, 250)]","[(14555, 15304)]","[(1, 250)]",2.306318512132036,pf32
ESI26_scaffold,contig_9_RagTag,26464,NE_5261_cp26_ParA_1,cp26,NE_5261,26464,253,100.0,758,252,"[(1, 253)]","[(6755, 7513)]","[(1, 253)]",2.864268440145102,pf32
ESI284_scaffold,NODE_12_length_21644_cov_19.638431,21644,RS05185_N40_N40_lp28-2_ParA_X,lp28-2,RS05185,21644,255,92.54901960784314,764,254,"[(1, 255)]","[(6110, 6874)]","[(1, 255)]",3.5298466087599336,pf32
ESI284_scaffold,NODE_15_length_10521_cov_61.565822,10521,P32_B31_cp32-1_ParA_X,cp32-1,P32,10521,246,100.0,737,245,"[(1, 246)]","[(7627, 8364)]","[(1, 246)]",7.005037543959699,pf32
