Query assembly,Ref assembly,ANI (mean)
ESI26,ESI26H,98.15957446808511
ESI28,ESI26H,98.62357142857142
ESI284,URI56H,98.14888888888889
ESI285,URI56H,98.14333333333333
ESI286,URI56H,98.30111111111111
ESI287,UCT113H,98.4227027027027
ESI288a,ESI26H,97.75214285714286
ESI289,URI56H,97.84740740740742
ESI290,URI56H,98.59291666666667
ESI291,URI56H,98.00739130434783
ESI292,URI56H,98.235
ESI294,URI56H,98.196
ESI295,ESI361H,98.81666666666666
ESI297,ESI403H,98.41942307692308
ESI299,ESI425H,98.79704545454545
ESI300,URI56H,98.57857142857142
ESI301,URI56H,98.6216
ESI303,ESI403H,98.1413043478261
ESI304,ESI425H,98.62026315789474
ESI305,URI56H,98.07799999999999
ESI306,URI56H,97.78185185185185
ESI307,URI56H,98.03111111111112
ESI308,URI56H,98.10038461538463
ESI309,ESI26H,97.78756756756756
ESI311,URI56H,98.45357142857142
ESI312,ESI425H,98.33854166666667
ESI313,URI56H,98.46038461538463
ESI314,URI56H,97.97888888888889
ESI315,URI56H,98.42307692307692
ESI316,ESI425H,98.4534693877551
ESI317,URI56H,98.45833333333333
ESI318,ESI26H,98.05142857142857
ESI319,ESI361H,98.43272727272728
ESI320,URI56H,97.70739130434782
ESI322,ESI361H,98.36580645161291
ESI323,ESI425H,98.70466666666667
UCT104,GCF_040790795.1_ASM4079079v1_genomic,99.52947368421053
UCT106,URI33H,99.16685714285715
UCT109,URI93H,99.10385964912281
UCT110,URI46H,99.10222222222222
UCT113,UCT113H,98.8995
UCT115,GCF_040790715.1_ASM4079071v1_genomic,99.05023809523809
UCT121,GCF_040790775.1_ASM4079077v1_genomic,99.79212765957448
UCT29,UCT29H,98.61531914893617
UCT30,UCT113H,99.5375
UCT31,URI40H,98.84434782608696
UCT32,GCF_040790795.1_ASM4079079v1_genomic,99.48512195121951
UCT35,UNY203P,99.67558139534884
UCT50,URI56H,99.0756
UCT51,URI56H,99.45
UCT62,URI56H,99.1291304347826
UCT66,URI93H,98.725
UCT69,URI56H,98.91303030303031
UCT73,GCF_040790795.1_ASM4079079v1_genomic,99.47142857142858
UCT74,URI87H,99.4475
UCT76,GCF_040790795.1_ASM4079079v1_genomic,99.01342857142856
UCT83,URI86H,99.28985074626866
UCT92,URI117H,99.62807692307692
UCT96,UCT96H,99.99153846153847
UMA1,GCF_040790795.1_ASM4079079v1_genomic,99.81906976744186
UMA10,UCT124H,99.28245901639343
UMA11,URI56H,98.6790909090909
UMA12,GCF_040790715.1_ASM4079071v1_genomic,99.0085294117647
UMA127,URI56H,99.21054794520548
UMA13,UCT113H,99.29175000000001
UMA14,GCF_040790805.1_ASM4079080v1_genomic,99.69888888888889
UMA15,GCF_040790795.1_ASM4079079v1_genomic,99.70885714285714
UMA16,UCT113H,98.946
UMA2,UNY990P,99.24647058823528
UMA3,URI56H,99.17692307692307
UMA4,GCF_040790795.1_ASM4079079v1_genomic,99.78780487804879
UMA5,URI33H,99.10936170212767
UMA7,URI33H,99.4047619047619
UMA8,URI56H,98.93025641025642
UMA9,URI102H,98.88915492957747
UNY129,UCT109H,99.09359375
UNY130,URI44H,99.1608108108108
UNY131,URI56H,98.84826086956522
UNY132,URI56H,99.64063829787233
UNY133,GCF_040790715.1_ASM4079071v1_genomic,98.62162162162163
UNY134,URI48H,99.02328358208956
UNY135,URI56H,99.6304255319149
UNY136,URI56H,98.92791666666666
UNY137,UNY1085P,98.74000000000001
UNY138,URI33H,99.08452380952382
UNY139,URI56H,98.82978723404256
UNY140,URI56H,98.85909090909091
UNY141,UNY990P,99.53060240963856
UNY142,URI56H,99.02583333333332
UNY143,UNY172P,99.51439393939394
UNY144,UCT35H,98.59515151515151
UNY145,URI102H,99.00746031746033
UNY146,GCF_040790715.1_ASM4079071v1_genomic,98.88811320754716
UNY147,UCT35H,99.69995169082125
UNY148,GCF_040790715.1_ASM4079071v1_genomic,98.82719999999999
UNY149,UCT110H,98.86253731343284
UNY150,URI40H,98.86746478873239
UNY151,UCT113H,99.2905
UNY152,URI33H,99.1167213114754
UNY153,URI102H,99.67264150943396
UNY154,URI44H,98.97130434782609
UNY155,GCF_040790795.1_ASM4079079v1_genomic,99.20611111111111
UNY156,GCF_040790795.1_ASM4079079v1_genomic,98.90750000000001
UNY157,URI56H,98.54771428571429
UNY158,URI56H,99.3654347826087
UNY159,UCT113H,98.43733333333333
UNY160,UCT113H,99.01982758620689
UNY161,URI41H,98.8823880597015
UNY162,UNY990P,99.14861538461538
UNY163,URI102H,99.24229166666667
UNY164,URI56H,99.28090909090908
UNY165,URI34H,99.45642857142856
UNY166,URI48H,98.94193548387096
UNY167,URI56H,99.73142857142857
UNY168,GCF_040790715.1_ASM4079071v1_genomic,99.24777777777778
UNY169,URI56H,98.87217391304348
UNY170,URI102H,99.04907692307691
UNY171,URI33H,99.57040322580644
UNY172,XYZ459H,99.6469387755102
UNY173,URI34H,99.70182481751824
UNY174,URI40H,98.272987012987
UNY175,UCT35H,99.47676470588236
UNY176,UCT96H,99.65701923076924
UNY177,URI46H,99.31849315068493
UNY178,UCT35H,99.90346405228757
UNY179,GCF_040790795.1_ASM4079079v1_genomic,99.54942307692308
UNY180,UCT113H,99.27260869565217
UNY181,UCT113H,98.89657894736843
UNY182,URI86H,99.47826086956522
UNY183,URI56H,99.80776315789474
UNY184,URI93H,99.41524590163934
UNY185,GCF_040790715.1_ASM4079071v1_genomic,99.27657894736842
UNY187,GCF_040790775.1_ASM4079077v1_genomic,99.56880341880341
UNY188,GCF_040790795.1_ASM4079079v1_genomic,99.54485294117647
UNY189,URI56H,99.49548387096775
UNY190,UCT96H,98.52101123595507
UNY191,UCT113H,99.35473214285715
UNY192,GCF_040790805.1_ASM4079080v1_genomic,99.58609756097562
UNY193,UNY193P,99.5066091954023
UNY194,GCF_040790795.1_ASM4079079v1_genomic,99.285
UNY195,URI93H,98.25060606060606
UNY196,URI56H,99.84804651162791
UNY197,GCF_040790795.1_ASM4079079v1_genomic,99.29145833333332
UNY199,URI56H,98.80652173913045
UNY200,URI102H,99.51047619047618
UNY201,UCT35H,99.8145
UNY202,URI33H,99.20905660377359
UNY203,UNY203P,99.8394
UNY204,UNY172P,99.14303571428572
UNY205,URI56H,99.835
UNY206,URI33H,99.32918367346939
UNY207,UNY1128P,99.59766666666665
UNY208,GCF_040790715.1_ASM4079071v1_genomic,99.34060606060605
UNY209,URI56H,99.7422807017544
UNY210,GCF_003367295.1_ASM336729v1_genomic,99.72434782608696
UNY211,UCT113H,99.02282051282052
UNY212,URI44H,98.76528571428571
UNY213,URI33H,99.56940397350994
UNY214,UCT35H,99.56224999999999
UNY215,UCT113H,99.32295774647888
UNY216,XYZ459H,99.69968503937008
UNY217,GCF_003367295.1_ASM336729v1_genomic,99.61693548387096
UNY218,GCF_003367295.1_ASM336729v1_genomic,99.69109090909092
URI100,URI41H,99.07620000000001
URI101,URI111H,99.36830188679247
URI102,URI102H,99.27358208955224
URI103,GCF_040790795.1_ASM4079079v1_genomic,99.5625
URI105,URI93H,98.93623188405797
URI107,URI111H,99.20984615384616
URI108,UCT124H,99.50733333333334
URI111,URI40H,99.56705882352942
URI112,GCF_040790795.1_ASM4079079v1_genomic,99.52114285714285
URI114,URI56H,99.57319148936169
URI116,URI48H,99.87627906976745
URI117,URI44H,99.91773584905661
URI118,URI44H,99.92530612244899
URI119,GCF_040790775.1_ASM4079077v1_genomic,99.97333333333333
URI120,URI42H,99.9995744680851
URI122,URI118H,99.98102564102565
URI17,GCF_024662195.1_ASM2466219v1_genomic,99.44708333333334
URI19,UCT124H,99.8468932038835
URI20,UNY203P,99.38508771929824
URI219,GCF_040790805.1_ASM4079080v1_genomic,99.333125
URI22,URI33H,99.39081632653061
URI23,UCT110H,99.71316666666667
URI24,GCF_040790805.1_ASM4079080v1_genomic,99.57666666666667
URI33,URI33H,99.43113636363637
URI34,URI34H,99.11104166666667
URI36,URI56H,99.43510204081632
URI37,GCF_019134655.1_ASM1913465v1_genomic,99.0545
URI38,GCF_003367295.1_ASM336729v1_genomic,99.01368421052632
URI39,URI93H,99.70181818181818
URI40,URI93H,99.71267857142857
URI41,URI41H,99.2055737704918
URI42,URI102H,99.42245614035087
URI43,URI102H,98.92764705882352
URI44,GCF_040790795.1_ASM4079079v1_genomic,99.24243902439025
URI46,GCF_040790795.1_ASM4079079v1_genomic,99.83222222222223
URI47,GCF_040790795.1_ASM4079079v1_genomic,99.53
URI48,URI33H,99.30756756756757
URI49,UNY990P,99.03239130434783
URI52,URI56H,99.28755555555554
URI53,URI56H,99.64145833333333
URI54,UCT35H,99.13595238095238
URI55,URI56H,98.40166666666667
URI56,URI56H,99.66333333333334
URI57,UCT96H,98.41216216216216
URI58,URI56H,99.5031914893617
URI59,UNY203P,99.40488372093023
URI60,UCT113H,98.984
URI61,UCT29H,99.15098591549297
URI63,GCF_040790775.1_ASM4079077v1_genomic,99.62780000000001
URI64,URI117H,99.48482142857142
URI65,URI101H,99.10855072463768
URI67,GCF_040790805.1_ASM4079080v1_genomic,99.22066666666666
URI68,URI33H,99.02186046511628
URI70,URI102H,99.19879310344827
URI71,GCF_040790795.1_ASM4079079v1_genomic,99.84162162162161
URI72,URI93H,99.35741935483871
URI75,URI102H,98.96089552238806
URI77,GCF_040790795.1_ASM4079079v1_genomic,99.43175
URI78,URI40H,98.96474576271187
URI79,GCF_040790775.1_ASM4079077v1_genomic,99.26735849056604
URI81,URI33H,99.55327272727273
URI84,GCF_002151485.1_ASM215148v1_genomic,99.35714285714286
URI85,URI33H,99.10736842105263
URI86,GCF_040790795.1_ASM4079079v1_genomic,99.0790909090909
URI87,URI111H,99.13985714285714
URI88,URI34H,98.89414634146341
URI89,URI102H,99.13419354838709
URI90,URI56H,98.83192307692308
URI91,URI40H,99.04873015873015
URI93,URI93H,99.17557142857143
URI94,GCF_040790795.1_ASM4079079v1_genomic,99.59340909090908
URI97,URI86H,99.34111111111112
URI98,GCF_040790795.1_ASM4079079v1_genomic,99.61142857142858
URI99,URI33H,99.4990243902439
UWI220,URI33H,99.39774647887323
UWI221,UCT113H,99.72176470588235
UWI222,UCT113H,99.48057692307692
UWI223,URI56H,98.9407142857143
UWI224,UCT113H,99.34772727272728
UWI225,URI56H,99.25448979591837
UWI226,XYZ459H,98.71521739130434
UWI227,UCT113H,99.31098039215685
UWI228,URI56H,98.37592592592593
UWI229,URI56H,98.92073170731707
UWI230,URI33H,99.60836363636363
UWI231,UCT35H,99.46259259259259
UWI232,URI86H,99.46376712328767
UWI233,UCT35H,99.58333333333333
UWI234,GCF_040790715.1_ASM4079071v1_genomic,98.93216216216216
UWI235,URI56H,99.23782608695652
UWI236,UCT113H,98.67
UWI237,URI56H,99.15901960784313
UWI238,URI56H,99.42222222222222
UWI239,XYZ459H,98.80470588235293
UWI240,XYZ459H,99.26188235294119
UWI241,UCT35H,98.97137931034483
UWI242,URI56H,98.85243243243244
UWI243,UCT113H,99.33071428571428
UWI244,URI56H,99.41183333333333
UWI245,URI56H,98.88636363636364
UWI246,URI33H,99.36896551724138
UWI247,UCT113H,99.6952564102564
UWI248,UCT113H,99.54436363636363
UWI249,XYZ459H,99.27371428571428
UWI250,GCF_040790715.1_ASM4079071v1_genomic,99.3215625
UWI251,URI56H,98.97746031746031
UWI252,GCF_040790715.1_ASM4079071v1_genomic,99.80802259887005
UWI253,UWI247P,99.90935483870967
UWI254,UWI247P,99.88319444444444
UWI255,URI56H,99.745306122449
UWI256,GCF_040790715.1_ASM4079071v1_genomic,99.80780487804878
UWI257,GCF_040790755.1_ASM4079075v1_genomic,99.74363636363637
UWI258,GCF_040790755.1_ASM4079075v1_genomic,99.70123188405798
UWI260,URI34H,99.6492105263158
UWI261,URI56H,98.6116129032258
UWI262,URI34H,99.04888888888888
UWI263,GCF_040790715.1_ASM4079071v1_genomic,99.82184971098266
UWI264,GCF_040790715.1_ASM4079071v1_genomic,99.34709677419356
UWI265,GCF_040790715.1_ASM4079071v1_genomic,99.3543220338983
UWI267,UNY990P,99.63625
UWI268,URI56H,99.77785714285714
UWI269,UWI247P,99.82326530612245
UWI270,UNY203P,98.61833333333334
UWI271,URI56H,99.24585365853659
UWI272,GCF_040790805.1_ASM4079080v1_genomic,99.64541062801932
UWI273,ESI26H,99.65685185185185
UWI274,URI56H,98.37217391304348
UWI275,URI56H,99.22734042553192
UWI276,GCF_040790755.1_ASM4079075v1_genomic,99.594388185654
UWI277,URI56H,98.88142857142859
UWI278,UCT113H,99.83066176470588
UWI279,URI33H,99.1105
UWI280,UWI247P,99.57358490566037
UWI281,GCF_003367295.1_ASM336729v1_genomic,99.68753731343283
UWI282,UWI283P,99.2215625
UWI283,XYZ459H,98.92620689655173
