Assembly	URI44H
# misassemblies	24
  # contig misassemblies	24
    # c. relocations	5
    # c. translocations	18
    # c. inversions	1
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	11
Misassembled contigs length	1187541
# local misassemblies	14
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# mismatches	9783
# indels	628
    # indels (<= 5 bp)	565
    # indels (> 5 bp)	63
Indels length	3320
