ID	group	gene	old_locus_tag	percent_ident	alignment_length	E-score
nagZ~~~nagZ_1	nagZ~~~nagZ_1	BB_RS00010	BB_0002	100.000	1029	0.0
glmM	glmM	BB_RS00020	BB_0004	99.331	1794	0.0
yhhT~~~tqsA	yhhT~~~tqsA	BB_RS00030	BB_0006	100.000	1089	0.0
group_847	group_847	BB_RS00035	BB_0007	99.883	858	0.0
cdaA	cdaA	BB_RS00040	BB_0008	99.870	771	0.0
group_858	group_858	BB_RS00045	BB_0009	99.701	1005	0.0
group_843	group_843	BB_RS00050	BB_0010	99.733	375	0.0
group_1282	group_1282	BB_RS00055	BB_0011	99.762	840	0.0
truA	truA	BB_RS00060	BB_0012	99.325	741	0.0
group_752	group_752	BB_RS00065	BB_0013	99.667	600	0.0
priA	priA	BB_RS00070	BB_0014	99.899	1983	0.0
udk	udk	BB_RS00075	BB_0015	100.000	621	0.0
group_1133	group_1133	BB_RS00090	BB_0018	99.898	981	0.0
group_761	group_761	BB_RS00095	BB_0019	100.000	513	0.0
pfp	pfp	BB_RS00100	BB_0020	99.760	1668	0.0
ruvB~~~ruvB_1	ruvB~~~ruvB_1	BB_RS00110	BB_0022	99.617	1044	0.0
ruvA	ruvA	BB_RS00115	BB_0023	100.000	594	0.0
group_724	group_724	BB_RS00125	BB_0025	100.000	732	0.0
group_798	group_798	BB_RS00135	BB_0027	100.000	639	0.0
group_822	group_822	BB_RS00140	BB_0028	99.905	1050	0.0
group_1129	group_1129	BB_RS00150	BB_0030	100.000	636	0.0
group_919	group_919	BB_RS00155	BB_0031	99.694	981	0.0
group_976	group_976	BB_RS00170	BB_0034	100.000	540	0.0
gyrA_1	gyrA_1	BB_RS00175	BB_0035	99.841	1881	0.0
gyrB_1	gyrB_1	BB_RS00180	BB_0036	99.722	1800	0.0
plsC	plsC	BB_RS00185	BB_0037	99.602	753	0.0
group_1429	group_1429	BB_RS00190	BB_0038	99.736	1518	0.0
group_1357	group_1357	BB_RS00195	BB_0039	100.000	1503	0.0
cheR1~~~cheR	cheR1~~~cheR	BB_RS00200	BB_0040	99.883	852	0.0
phoU	phoU	BB_RS00205	BB_0042	99.851	672	0.0
group_801	group_801	BB_RS00215	BB_0044	100.000	402	0.0
smc	smc	BB_RS00220	BB_0045	99.469	2448	0.0
rnhB	rnhB	BB_RS00225	BB_0046	99.267	546	0.0
group_1372	group_1372	BB_RS00230	BB_0047	99.729	369	0.0
group_777	group_777	BB_RS00245	BB_0050	99.556	675	0.0
group_882	group_882	BB_RS00250	BB_0051	99.565	690	0.0
trmH	trmH	BB_RS00255	BB_0052	99.696	657	0.0
ung	ung	BB_RS00260	BB_0053	99.554	672	0.0
group_1391	group_1391	BB_RS00265	BB_0054	99.449	363	0.0
pgk	pgk	BB_RS00275	BB_0056	99.408	1182	0.0
gap	gap	BB_RS00280	BB_0057	99.702	1008	0.0
group_1157	group_1157	BB_RS00285	BB_0058	99.949	1971	0.0
corC	corC	BB_RS00290	BB_0059	99.872	780	0.0
group_808	group_808	BB_RS00305	BB_0062	98.884	717	0.0
fmt	fmt	BB_RS00315	BB_0064	99.894	939	0.0
def2~~~def1	def2~~~def1	BB_RS00320	BB_0065	99.398	498	0.0
group_162	group_162	BB_RS00330	BB_0067	99.438	1779	0.0
cof~~~yigL_1	cof~~~yigL_1	BB_RS00335	BB_0068	99.773	882	0.0
group_924	group_924	BB_RS00340	BB_0069	99.839	1239	0.0
group_1143	group_1143	BB_RS00345	BB_0070	100.000	462	0.0
group_983	group_983	BB_RS00350	BB_0071	100.000	1473	0.0
group_982	group_982	BB_RS00360	BB_0073	99.465	561	0.0
group_1259	group_1259	BB_RS00370	BB_0075	99.504	1410	0.0
ftsY	ftsY	BB_RS00375	BB_0076	99.764	846	0.0
group_1261	group_1261	BB_RS00385	BB_0078	99.602	1255	0.0
lolD	lolD	BB_RS00390	BB_0080	99.853	681	0.0
group_1501	group_1501	BB_RS00400	BB_0082	99.846	1299	0.0
group_785	group_785	BB_RS00405	BB_0083	99.377	321	4.90e-164
csd_1~~~csd_2~~~csd	csd_1~~~csd_2~~~csd	BB_RS00410	BB_0084	99.764	1269	0.0
group_765	group_765	BB_RS00415	BB_0085	99.765	426	0.0
ldh~~~ldh1	ldh~~~ldh1	BB_RS00425	BB_0087	99.790	951	0.0
group_1161	group_1161	BB_RS00440	BB_0090	100.000	435	0.0
group_981	group_981	BB_RS00445	BB_0091	99.617	1827	0.0
atpD	atpD	BB_RS00450	BB_0092	99.836	609	0.0
ntpB	ntpB	BB_RS00455	BB_0093	100.000	1305	0.0
ntpA~~~atpA	ntpA~~~atpA	BB_RS00460	BB_0094	99.942	1728	0.0
atpE	atpE	BB_RS00470	BB_0096	99.833	600	0.0
group_1333	group_1333	BB_RS00475	BB_0097	100.000	387	0.0
mutS2	mutS2	BB_RS00480	BB_0098	99.915	2343	0.0
rsgA	rsgA	BB_RS00485	BB_0099	100.000	924	0.0
murI	murI	BB_RS00490	BB_0100	99.873	786	0.0
asnS	asnS	BB_RS00495	BB_0101	99.928	1389	0.0
group_770	group_770	BB_RS00505	BB_0103	99.663	594	0.0
map	map	BB_RS00515	BB_0105	99.868	756	0.0
group_1204	group_1204	BB_RS00520	BB_0106	99.940	1668	0.0
prsA~~~surA	prsA~~~surA	BB_RS00530	BB_0108	99.901	1011	0.0
group_457	group_457	BB_RS00535	BB_0109	99.582	1197	0.0
group_788	group_788	BB_RS00540	BB_0110	99.853	1365	0.0
dnaB	dnaB	BB_RS00545	BB_0111	99.854	1368	0.0
rplI	rplI	BB_RS00550	BB_0112	99.234	522	0.0
group_168	group_168	BB_RS00555	BB_0113	100.000	291	1.50e-150
ssb	ssb	BB_RS00560	BB_0114	99.778	450	0.0
group_1244	group_1244	BB_RS00565	BB_0115	99.762	420	0.0
ptsG_1	ptsG_1	BB_RS00570	BB_0116	99.587	1695	0.0
group_1358	group_1358	BB_RS00580	BB_0118	99.155	1302	0.0
group_986	group_986	BB_RS00585	BB_0119	99.883	852	0.0
group_851	group_851	BB_RS00615	BB_0125	99.308	723	0.0
rpsA	rpsA	BB_RS00625	BB_0127	99.879	1656	0.0
cmk_1	cmk_1	BB_RS00630	BB_0128	98.498	666	0.0
rluB	rluB	BB_RS00635	BB_0129	99.467	750	0.0
group_1193	group_1193	BB_RS00640	BB_0130	99.740	768	0.0
recA_2~~~recA	recA_2~~~recA	BB_RS00645	BB_0131	99.727	1098	0.0
greA	greA	BB_RS00650	BB_0132	99.926	2706	0.0
group_1182	group_1182	BB_RS00655	BB_0133	100.000	945	0.0
pbpB~~~ftsI~~~spoVD	pbpB~~~ftsI~~~spoVD	BB_RS00670	BB_0136	99.630	1890	0.0
menE	menE	BB_RS00675	BB_0137	99.947	1893	0.0
mdtB~~~mdtC~~~swrC	mdtB~~~mdtC~~~swrC	BB_RS00690	BB_0140	99.596	3216	0.0
group_1268	group_1268	BB_RS00695	BB_0141	99.790	954	0.0
group_1269	group_1269	BB_RS00700	BB_0142	99.534	1287	0.0
group_701	group_701	BB_RS00705	BB_0143	96.825	189	3.07e-87
group_1876	group_1876	BB_RS00710	BB_0144	99.885	873	0.0
opuAB	opuAB	BB_RS00715	BB_0145	100.000	900	0.0
btuD_1	btuD_1	BB_RS00720	BB_0146	100.000	1119	0.0
fla_2~~~fla	fla_2~~~fla	BB_RS00725	BB_0147	99.703	1011	0.0
group_1303	group_1303	BB_RS00730	BB_0149	99.499	1998	0.0
nagA	nagA	BB_RS00735	BB_0151	99.337	1206	0.0
nagB	nagB	BB_RS00740	BB_0152	100.000	807	0.0
sodA	sodA	BB_RS00745	BB_0153	100.000	612	0.0
secA_1~~~secA_2~~~secA	secA_1~~~secA_2~~~secA	BB_RS00750	BB_0154	99.741	2700	0.0
group_874	group_874	BB_RS00765	BB_0157	100.000	417	0.0
group_1295	group_1295	BB_RS00775	BB_0159	99.852	675	0.0
alr1~~~alr	alr1~~~alr	BB_RS00780	BB_0160	99.911	1119	0.0
group_41	group_41	BB_RS00785	BB_0161	99.813	1602	0.0
