#Annotated with Bakta v1.10.0, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	144205	144393	-	MBDBPK_00140	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
contig_1	157463	157897	+	MBDBPK_00151	16.9	10.1		RefSeq:WP_002656923.1, SO:0001217, UniParc:UPI00016B2D9E, UniRef:UniRef100_UPI00016B2D9E, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
contig_1	272628	273641	-	MBDBPK_00258	39.1	4.3		RefSeq:WP_002657018.1, SO:0001217, UniParc:UPI00016B3360, UniRef:UniRef100_UPI00016B3360, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
contig_1	368451	368876	+	MBDBPK_00353	16.5	9.8		SO:0001217, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
contig_1	416695	417111	+	MBDBPK_00399	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
contig_1	535176	535598	-	MBDBPK_00522	16.5	10.2		RefSeq:WP_002657113.1, SO:0001217, UniParc:UPI00016B3076, UniRef:UniRef100_UPI00016B3076, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
contig_1	564167	565660	-	MBDBPK_00551	59.3	5.7		RefSeq:WP_002656753.1, SO:0001217, UniParc:UPI00016B2D98, UniRef:UniRef100_UPI00016B2D98, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
contig_1	644756	645124	+	MBDBPK_00620	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
contig_1	662587	662901	-	MBDBPK_00635	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
contig_1	690172	690468	+	MBDBPK_00655	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
contig_1	739108	739647	+	MBDBPK_00705	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
contig_1	792274	793548	+	MBDBPK_00756	48.6	4.5		RefSeq:WP_002656749.1, SO:0001217, UniParc:UPI00016B2C50, UniRef:UniRef100_UPI00016B2C50, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
contig_1	814822	815256	-	MBDBPK_00780	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
contig_1	908065	908352	-	MBDBPK_00853	11.2	10.0		RefSeq:WP_002656327.1, SO:0001217, UniParc:UPI00018823F3, UniRef:UniRef100_UPI00018823F3, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
contig_1	908345	908443	-	MBDBPK_00854	4.0	9.7		
contig_1	911305	911493	-	MBDBPK_00857	7.4	9.6		RefSeq:WP_002656472.1, SO:0001217, UniParc:UPI00016B30A5, UniRef:UniRef100_UPI00016B30A5, UniRef:UniRef50_UPI00017F3722, UniRef:UniRef90_UPI00016B30A5
contig_2	13	387	+	MBDBPK_00859	14.7	4.9	PF13614.10|AAA_31	PFAM:PF13614.10
contig_7	30398	30586	-	MBDBPK_01071	7.3	6.1		
contig_8	12998	13471	-	MBDBPK_01093	19.0	9.2		RefSeq:WP_012621301.1, SO:0001217, UniParc:UPI00016B3CEA, UniRef:UniRef100_A0A9N7AWA4, UniRef:UniRef50_A0A7W9SK25, UniRef:UniRef90_Q9X3P1
contig_10	7779	8345	-	MBDBPK_01154	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
contig_10	8527	9054	-	MBDBPK_01155	20.8	9.1		RefSeq:WP_012599439.1, SO:0001217, UniParc:UPI00016B3BBA, UniRef:UniRef100_A0A7I6GXU7, UniRef:UniRef90_A0A0H3C0R6
contig_10	30658	30921	-	MBDBPK_01185	10.0	8.0		SO:0001217, UniRef:UniRef50_A0A1L8Z9B2
contig_11	11189	11872	-	MBDBPK_01194	26.7	9.4		RefSeq:WP_012622432.1, SO:0001217, UniParc:UPI00016B27D7, UniRef:UniRef100_A0A9N7B4Y8, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_A0A5J6WFZ6
contig_13	662	808	+	MBDBPK_01218	5.9	9.4		SO:0001217, UniRef:UniRef50_UPI001E5069D0
contig_13	5646	5768	+	MBDBPK_01220	4.6	6.1		
contig_13	6232	6381	-	MBDBPK_01221	5.7	9.0		
contig_13	8443	8685	-	MBDBPK_01222	9.4	10.1		RefSeq:WP_052307598.1, SO:0001217, UniParc:UPI00016B2F38, UniRef:UniRef100_UPI00016B2F38, UniRef:UniRef50_UPI0018ED75EB, UniRef:UniRef90_UPI0018ED75EB
contig_13	12506	12688	+	MBDBPK_01227	6.8	4.3		SO:0001217, UniRef:UniRef50_A0A9N7B502, UniRef:UniRef90_A0A9N7B502
contig_13	21841	23727	-	MBDBPK_01234	60.9	5.3		
contig_14	8372	8587	-	MBDBPK_01241	8.3	5.3		
contig_14	14044	14163	-	MBDBPK_01244	4.4	4.6		RefSeq:WP_012614965.1, SO:0001217, UniParc:UPI00016B2E1E, UniRef:UniRef100_A0A0H3C151, UniRef:UniRef50_A0A0H3C151, UniRef:UniRef90_A0A0H3C151
contig_15	186	950	+	MBDBPK_01255	29.8	9.9		RefSeq:WP_012622391.1, SO:0001217, UniParc:UPI00016B2F44, UniRef:UniRef100_A0A7U4DJ44, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
contig_15	2254	2610	+	MBDBPK_01258	14.3	9.6		RefSeq:WP_012615033.1, SO:0001217, UniParc:UPI00017F4968, UniRef:UniRef100_A0A7U3YBP9, UniRef:UniRef50_Q44728, UniRef:UniRef90_A0A7U3YBP9
contig_15	2817	2915	+	MBDBPK_01259	3.6	8.5		
contig_15	18443	18754	-	MBDBPK_01271	11.7	4.8	PF05714.15|PFam54_60	PFAM:PF05714.15
contig_15	23356	24192	-	MBDBPK_01276	32.2	9.1	PF05714.15|PFam54_60	PFAM:PF05714.15, RefSeq:WP_012622389.1, SO:0001217, UniParc:UPI00016B2F6C, UniRef:UniRef100_A0A7U4DJ06, UniRef:UniRef90_Q66YX5
contig_15	26751	26927	+	MBDBPK_01279	6.9	9.6		RefSeq:WP_010257051.1, SO:0001217, UniParc:UPI00016B2F6F, UniRef:UniRef100_A0A7U4DJ52, UniRef:UniRef50_A0A7U4DJ52, UniRef:UniRef90_A0A7U4DJ52
contig_16	1430	1621	+	MBDBPK_01284	7.8	6.6		RefSeq:WP_012622447.1, SO:0001217, UniParc:UPI00016B34DB, UniRef:UniRef100_A0A7U4DIT2, UniRef:UniRef50_A0A7U4DIT2, UniRef:UniRef90_A0A7U4DIT2
contig_16	4502	4600	+	MBDBPK_01287	4.0	9.7		
contig_16	4593	4880	+	MBDBPK_01288	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
contig_16	21922	22059	+	MBDBPK_01298	5.4	8.0		
contig_16	22141	22905	-	MBDBPK_01299	29.2	9.9		RefSeq:WP_096890872.1, SO:0001217, UniParc:UPI000BC334A2, UniRef:UniRef100_UPI000BC334A2, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
contig_17	10075	10518	-	MBDBPK_01309	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
contig_17	10923	11261	-	MBDBPK_01311	13.2	4.7		RefSeq:WP_010259656.1, SO:0001217, UniParc:UPI000005685C, UniRef:UniRef100_O50739, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
contig_17	11274	12107	-	MBDBPK_01312	31.4	6.4		SO:0001217, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
contig_17	15797	16594	-	MBDBPK_01318	30.5	9.0		
